date,new_cases,people_fully_vaccinated
18.01.21,6560,453547
18.01.21,8825,8103
18.01.21,477,2779
18.01.21,260,447
18.01.21,244,614
18.01.21,8074,6546
18.01.21,383,394
18.01.21,221,1985
18.01.21,64797,705555
18.01.21,136776,72789
18.01.21,210831,531125
18.01.21,346568,3959640
18.01.21,162747,2724331
18.01.21,59141,8371
18.01.21,124635,9742
18.01.21,520013,3969382
18.01.21,3332,3468
18.01.21,6702,1414
18.01.21,1509,1950
18.01.21,14,23
18.01.21,299,321
18.01.21,141582,2695063
19.01.21,1486,2839
19.01.21,1479,870
19.01.21,544,3168
19.01.21,5159,24840
19.01.21,2260,1780
19.01.21,3401,8372
19.01.21,7651,5210
19.01.21,12233,73191
19.01.21,724,4212
19.01.21,34291,9341
19.01.21,597,894
19.01.21,24023,405
19.01.21,33371,460625
19.01.21,537,1072
19.01.21,573,2939
19.01.21,1996,110
19.01.21,7380,591338
19.01.21,10496,9892
19.01.21,867,6709
19.01.21,85,794
19.01.21,812,1423
19.01.21,18894,9609
19.01.21,422,1229
19.01.21,135,3276
19.01.21,74815,844646
19.01.21,138649,151226
19.01.21,206031,614860
19.01.21,353633,4535022
19.01.21,186652,3082674
19.01.21,99042,8372
19.01.21,178950,15530
19.01.21,590029,4550552
19.01.21,4890,11174
19.01.21,10455,9032
19.01.21,2745,2621
19.01.21,30,32
19.01.21,1713,1968
19.01.21,154484,3048093
20.01.21,12112,4394
20.01.21,1671,4195
20.01.21,3006,1364
20.01.21,482,4293
20.01.21,5772,37992
20.01.21,2727,2692
20.01.21,3589,8372
20.01.21,9628,7873
20.01.21,29003,127048
20.01.21,886,5919
20.01.21,41576,15642
20.01.21,603,1528
20.01.21,26758,559
20.01.21,38917,464036
20.01.21,511,1664
20.01.21,976,4030
20.01.21,2485,1067
20.01.21,5,480
20.01.21,10213,735039
20.01.21,13568,14497
20.01.21,1232,8555
20.01.21,229,1243
20.01.21,1088,2183
20.01.21,20548,11402
20.01.21,431,1938
20.01.21,171,4775
20.01.21,81694,989886
20.01.21,177115,259811
20.01.21,250686,728957
20.01.21,436072,5220775
20.01.21,222378,3515200
20.01.21,117787,12766
20.01.21,200348,26034
20.01.21,700891,5246809
20.01.21,6943,24992
20.01.21,14647,18207
20.01.21,3000,5813
20.01.21,40,72
20.01.21,1714,5777
20.01.21,188540,3465674
21.01.21,11396,16352
21.01.21,1702,4370
21.01.21,2571,1424
21.01.21,455,4532
21.01.21,6283,43792
21.01.21,2205,3264
21.01.21,4367,8372
21.01.21,8228,9619
21.01.21,8277,167957
21.01.21,760,8055
21.01.21,44357,49056
21.01.21,668,2209
21.01.21,22587,688
21.01.21,37901,466796
21.01.21,506,2261
21.01.21,1410,5815
21.01.21,2598,2023
21.01.21,7027,899407
21.01.21,14055,34455
21.01.21,1277,9194
21.01.21,115,1243
21.01.21,902,2204
21.01.21,22339,18018
21.01.21,372,2117
21.01.21,76524,1154257
21.01.21,152413,390445
21.01.21,227222,863102
21.01.21,411062,5792762
21.01.21,227570,3799556
21.01.21,97088,24724
21.01.21,181613,48877
21.01.21,656493,5841639
21.01.21,7008,39686
21.01.21,13544,23181
21.01.21,2878,9843
21.01.21,38,75
21.01.21,1455,9268
21.01.21,191356,3737614
22.01.21,10753,25146
22.01.21,2088,4984
22.01.21,2444,1507
22.01.21,566,4605
22.01.21,5730,50128
22.01.21,2156,3754
22.01.21,4959,8376
22.01.21,7488,10665
22.01.21,16366,201537
22.01.21,773,13267
22.01.21,42885,68456
22.01.21,489,2486
22.01.21,23292,848
22.01.21,40268,468617
22.01.21,562,2579
22.01.21,1311,6944
22.01.21,2357,2985
22.01.21,6159,970497
22.01.21,13633,48617
22.01.21,1033,9264
22.01.21,119,1244
22.01.21,876,2227
22.01.21,21007,20083
22.01.21,306,2136
22.01.21,75670,1225349
22.01.21,157269,478159
22.01.21,233037,953146
22.01.21,418660,6166558
22.01.21,227101,4015761
22.01.21,102622,33522
22.01.21,182528,61220
22.01.21,664447,6227778
22.01.21,6693,45479
22.01.21,13987,25585
22.01.21,2699,11254
22.01.21,15,77
22.01.21,1446,10264
22.01.21,193247,3945418
23.01.21,8362,29188
23.01.21,1626,4997
23.01.21,2583,1528
23.01.21,266,4610
23.01.21,4739,54510
23.01.21,0,3850
23.01.21,4581,8376
23.01.21,122,2057
23.01.21,8514,11546
23.01.21,12430,248057
23.01.21,879,19481
23.01.21,483,2498
23.01.21,24093,898
23.01.21,33568,469660
23.01.21,605,3135
23.01.21,1344,8135
23.01.21,1905,3441
23.01.21,4933,1024063
23.01.21,13331,81956
23.01.21,1007,9264
23.01.21,0,1244
23.01.21,910,2229
23.01.21,20057,22472
23.01.21,238,2145
23.01.21,0,5902
23.01.21,73152,1280045
23.01.21,107065,577131
23.01.21,172347,1053266
23.01.21,341381,6473650
23.01.21,209450,4172055
23.01.21,91690,37564
23.01.21,170405,69280
23.01.21,574016,6542930
23.01.21,6431,46980
23.01.21,15333,29625
23.01.21,2719,12878
23.01.21,10,80
23.01.21,1541,10754
23.01.21,177842,4094941
24.01.21,5031,31987
24.01.21,1202,5013
24.01.21,1812,1557
24.01.21,121,4610
24.01.21,4387,57169
24.01.21,0,3862
24.01.21,4463,8376
24.01.21,4256,12415
24.01.21,10078,270184
24.01.21,754,24965
24.01.21,0,88698
24.01.21,532,2498
24.01.21,246,4962
24.01.21,18436,925
24.01.21,30037,470478
24.01.21,,522
24.01.21,1257,9403
24.01.21,1370,3837
24.01.21,3442,1164710
24.01.21,11628,112738
24.01.21,773,9264
24.01.21,512,2234
24.01.21,10872,25185
24.01.21,116,1198
24.01.21,279,2155
24.01.21,558,7992
24.01.21,66923,1422783
24.01.21,85888,684681
24.01.21,146095,1162178
24.01.21,278845,6814962
24.01.21,161825,4264707
24.01.21,67502,40363
24.01.21,129478,75069
24.01.21,462542,6890031
24.01.21,4566,47721
24.01.21,11721,30142
24.01.21,1816,13155
24.01.21,48,81
24.01.21,8420,9773
24.01.21,537,10889
24.01.21,0,12064
24.01.21,141438,4182221
25.01.21,7578,32264
25.01.21,1009,5134
25.01.21,1192,1605
25.01.21,772,4669
25.01.21,5632,65406
25.01.21,4320,5317
25.01.21,4068,9779
25.01.21,1437,2421
25.01.21,2387,15389
25.01.21,6887,308912
25.01.21,625,27137
25.01.21,93822,123697
25.01.21,259,3187
25.01.21,4240,2133
25.01.21,22218,472446
25.01.21,432,8061
25.01.21,134,11907
25.01.21,844,12639
25.01.21,0,312
25.01.21,1369,5119
25.01.21,9,4787
25.01.21,3666,1304164
25.01.21,8559,177487
25.01.21,541,9267
25.01.21,295,1245
25.01.21,223,2887
25.01.21,8521,28715
25.01.21,203,1463
25.01.21,233,2174
25.01.21,209,9833
25.01.21,58734,1564094
25.01.21,143930,892658
25.01.21,198169,1378216
25.01.21,320261,7654631
25.01.21,149570,4763410
25.01.21,58092,42043
25.01.21,113590,93132
25.01.21,481277,7747763
25.01.21,2674,75765
25.01.21,1551,25063
25.01.21,44,97
25.01.21,301,10894
25.01.21,129426,4666868
26.01.21,10409,38911
26.01.21,1417,6070
26.01.21,1784,3407
26.01.21,827,5455
26.01.21,4226,73625
26.01.21,1884,7887
26.01.21,3322,10374
26.01.21,6942,19384
26.01.21,9387,356640
26.01.21,652,28570
26.01.21,36435,173066
26.01.21,355,4836
26.01.21,22086,5233
26.01.21,20101,474156
26.01.21,814,13145
26.01.21,459,17772
26.01.21,0,639
26.01.21,928,8614
26.01.21,8587,1430537
26.01.21,10584,254012
26.01.21,691,9928
26.01.21,119,1245
26.01.21,693,3717
26.01.21,17165,31314
26.01.21,138,1694
26.01.21,279,4583
26.01.21,154,11433
26.01.21,76166,1692076
26.01.21,132536,1160051
26.01.21,181698,1652625
26.01.21,327750,8625720
26.01.21,178146,5350501
26.01.21,107392,49285
26.01.21,178380,118767
26.01.21,562072,8744487
26.01.21,4603,123044
26.01.21,2877,40666
26.01.21,14,106
26.01.21,1681,12648
26.01.21,149850,5243141
27.01.21,10843,45710
27.01.21,1641,6614
27.01.21,3020,6905
27.01.21,598,7672
27.01.21,4265,83175
27.01.21,2222,9873
27.01.21,3388,10408
27.01.21,9209,23919
27.01.21,15636,415126
27.01.21,592,32367
27.01.21,40285,192759
27.01.21,636,6333
27.01.21,26916,10811
27.01.21,25334,476485
27.01.21,857,17879
27.01.21,1004,26293
27.01.21,1331,15308
27.01.21,8,4820
27.01.21,11934,1555529
27.01.21,15191,318871
27.01.21,1283,13019
27.01.21,237,1342
27.01.21,1103,4467
27.01.21,17944,31314
27.01.21,193,2095
27.01.21,367,12434
27.01.21,167,12272
27.01.21,80013,1817914
27.01.21,162472,1397245
27.01.21,218986,1902018
27.01.21,373638,9633163
27.01.21,185416,6001504
27.01.21,99164,56118
27.01.21,172663,144391
27.01.21,604489,9777554
27.01.21,6790,149779
27.01.21,3174,57274
27.01.21,25,113
27.01.21,1850,17507
27.01.21,156142,5884594
28.01.21,9471,51451
28.01.21,1449,9322
28.01.21,2775,14879
28.01.21,560,10883
28.01.21,4725,93114
28.01.21,1699,12564
28.01.21,4255,10408
28.01.21,8505,30054
28.01.21,14883,460849
28.01.21,668,39348
28.01.21,34899,251866
28.01.21,690,7735
28.01.21,23770,25133
28.01.21,28709,478254
28.01.21,713,23797
28.01.21,1569,37727
28.01.21,13695,5468
28.01.21,1463,26842
28.01.21,7305,1686088
28.01.21,14360,408170
28.01.21,943,16779
28.01.21,139,1483
28.01.21,965,5225
28.01.21,18670,31314
28.01.21,208,2518
28.01.21,315,19133
28.01.21,82881,1953959
28.01.21,150309,1721008
28.01.21,211849,2236940
28.01.21,369772,10637934
28.01.21,63063,5468
28.01.21,194598,6561762
28.01.21,100463,61859
28.01.21,174330,171118
28.01.21,610617,10814520
28.01.21,7153,179128
28.01.21,2901,75049
28.01.21,34,131
28.01.21,1573,23316
28.01.21,164602,6434913
29.01.21,9838,65583
29.01.21,1500,19155
29.01.21,2683,24131
29.01.21,695,12949
29.01.21,4813,102556
29.01.21,1916,15508
29.01.21,4606,10413
29.01.21,7982,37966
29.01.21,12831,518776
29.01.21,456,56230
29.01.21,687,9728
29.01.21,23205,42384
29.01.21,0,1
29.01.21,29079,480432
29.01.21,882,32742
29.01.21,1459,49606
29.01.21,13802,11287
29.01.21,2,1030
29.01.21,1247,38364
29.01.21,5096,1750846
29.01.21,13563,502215
29.01.21,859,21910
29.01.21,160,1681
29.01.21,931,6138
29.01.21,16374,31397
29.01.21,185,2969
29.01.21,299,21277
29.01.21,75869,2025264
29.01.21,143347,2014641
29.01.21,206005,2538231
29.01.21,363414,11484936
29.01.21,57679,11287
29.01.21,195382,7061157
29.01.21,95225,75996
29.01.21,166802,204425
29.01.21,591722,11700648
29.01.21,6145,195481
29.01.21,2737,92075
29.01.21,24,859
29.01.21,1294,27370
29.01.21,166998,6924783
30.01.21,6902,85361
30.01.21,1478,21564
30.01.21,2717,27070
30.01.21,349,13063
30.01.21,3976,111068
30.01.21,0,16361
30.01.21,4151,10413
30.01.21,119,5551
30.01.21,8072,39054
30.01.21,17518,572264
30.01.21,431,67988
30.01.21,404,10293
30.01.21,24045,46592
30.01.21,23360,491053
30.01.21,795,38888
30.01.21,1370,56825
30.01.21,14518,20810
30.01.21,1411,46157
30.01.21,4798,1793584
30.01.21,12713,586545
30.01.21,721,22359
30.01.21,0,1681
30.01.21,785,6446
30.01.21,15337,39009
30.01.21,136,3456
30.01.21,4179,2430
30.01.21,218,21502
30.01.21,74398,2077854
30.01.21,105486,2251106
30.01.21,158564,2786395
30.01.21,298870,12015934
30.01.21,57901,20810
30.01.21,175562,7317879
30.01.21,93727,95774
30.01.21,160387,241158
30.01.21,520125,12277902
30.01.21,5864,198478
30.01.21,12435,65050
30.01.21,2668,101304
30.01.21,58,1188
30.01.21,1358,27476
30.01.21,149717,7165381
31.01.21,1190,22586
31.01.21,2316,27425
31.01.21,130,13084
31.01.21,3588,113624
31.01.21,0,16363
31.01.21,4209,10414
31.01.21,4060,40236
31.01.21,748,603723
31.01.21,377,78994
31.01.21,0,357892
31.01.21,461,10550
31.01.21,367,19681
31.01.21,19336,48267
31.01.21,21140,494209
31.01.21,6,400
31.01.21,1307,61266
31.01.21,12001,22548
31.01.21,1244,50237
31.01.21,4646,1853054
31.01.21,11249,643878
31.01.21,803,22359
31.01.21,533,6784
31.01.21,7030,41842
31.01.21,182,3948
31.01.21,173,21571
31.01.21,67488,2139190
31.01.21,72098,2544643
31.01.21,120553,3083559
31.01.21,226839,12495950
31.01.21,48357,22548
31.01.21,129599,7448878
31.01.21,54801,95775
31.01.21,109650,248904
31.01.21,388210,12767402
31.01.21,4711,200537
31.01.21,9498,67974
31.01.21,1825,106196
31.01.21,29,1316
31.01.21,6542,32322
31.01.21,586,27478
31.01.21,0,38769
31.01.21,113831,7290991
01.02.21,6614,94274
01.02.21,1124,25799
01.02.21,1264,31431
01.02.21,832,13656
01.02.21,4588,118207
01.02.21,3775,20639
01.02.21,3779,10414
01.02.21,1293,11838
01.02.21,2555,48204
01.02.21,6668,665851
01.02.21,488,86454
01.02.21,79686,418519
01.02.21,367,11444
01.02.21,4347,69344
01.02.21,18653,496796
01.02.21,14,1325
01.02.21,538,46566
01.02.21,94,25099
01.02.21,1124,68526
01.02.21,10994,35406
01.02.21,1006,58567
01.02.21,8811,1888365
01.02.21,7925,725745
01.02.21,2,1
01.02.21,355,24222
01.02.21,345,1906
01.02.21,411,7960
01.02.21,5448,43455
01.02.21,124,4476
01.02.21,296,21931
01.02.21,65870,2189472
01.02.21,126156,2896709
01.02.21,173546,3443774
01.02.21,296232,13446801
01.02.21,40295,35406
01.02.21,139645,8030544
01.02.21,51514,104688
01.02.21,104215,286271
01.02.21,443343,13768478
01.02.21,2504,233129
01.02.21,5805,80488
01.02.21,1313,123048
01.02.21,29,3429
01.02.21,363,27522
01.02.21,124888,7857044
02.02.21,942,1
02.02.21,1241,40419
02.02.21,1854,45961
02.02.21,967,15100
02.02.21,3062,123141
02.02.21,1633,26344
02.02.21,3147,10420
02.02.21,7185,58444
02.02.21,7690,733152
02.02.21,397,89178
02.02.21,29064,498978
02.02.21,403,12974
02.02.21,23337,103833
02.02.21,16879,498962
02.02.21,15,2320
02.02.21,1221,54085
02.02.21,578,75036
02.02.21,10379,51999
02.02.21,0,1419
02.02.21,871,63663
02.02.21,7732,1919399
02.02.21,9651,807871
02.02.21,12,5
02.02.21,546,26505
02.02.21,190,2329
02.02.21,775,9641
02.02.21,4384,45748
02.02.21,141,4891
02.02.21,291,25289
02.02.21,69339,2239621
02.02.21,119574,3304503
02.02.21,162929,3864186
02.02.21,275863,14581683
02.02.21,47770,51999
02.02.21,131407,8730490
02.02.21,87826,104694
02.02.21,139827,305309
02.02.21,466318,14938991
02.02.21,4326,289190
02.02.21,5540,82431
